loan_age_months,at_risk,cif_default,cif_prepay,event_free_survival,naive_1_minus_km_default,km_overstatement
22.5,683,0.05239559551367649,0.3365925559505089,0.6110118485358144,0.06842662492657559,0.016031029412899092
23.0,682,0.05508333091779298,0.35003123297109134,0.5948854361111154,0.07252445502220661,0.017441124104413633
23.5,677,0.05508333091779298,0.3517886493259248,0.593128019756282,0.07252445502220661,0.017441124104413633
24.0,675,0.057719455450043124,0.36057573110009195,0.5817048134498647,0.0766465685554415,0.018927113105398373
25.0,667,0.058591576609638124,0.36842482153644696,0.5729836018539147,0.07803090653361877,0.019439329923980647
25.5,665,0.058591576609638124,0.3701480804893911,0.5712603429009706,0.07803090653361877,0.019439329923980647
26.0,663,0.06289972399199839,0.3839341521129439,0.5531661238950575,0.08498391628826707,0.02208419229626868
27.0,647,0.06375469481718395,0.3967587144907273,0.5394865906920885,0.0863981606216705,0.02264346580448655
27.5,639,0.06375469481718395,0.39760298145581663,0.5386423237269992,0.0863981606216705,0.02264346580448655
28.0,638,0.06459896178227328,0.40688991807179936,0.528511120145927,0.08783013842633869,0.023231176644065404
28.5,632,0.06459896178227328,0.40772616984418214,0.5276748683735443,0.08783013842633869,0.023231176644065404
29.0,631,0.06794396887180447,0.4169249393403929,0.5151310917878024,0.09361251472791443,0.02566854585610996
29.5,624,0.06794396887180447,0.42022706172364804,0.5118289694045473,0.09361251472791443,0.02566854585610996
30.0,620,0.07124609125505961,0.43095895946922724,0.4977949492757129,0.09946017592321876,0.028214084668159153
31.0,613,0.0736822818714171,0.4382675313182997,0.48805018681028295,0.10386738550271357,0.030185103631296478
32.0,606,0.07690373524970279,0.44873725479772825,0.47435900995256874,0.10978245226507188,0.0328787170153691
32.5,591,0.07690373524970279,0.4495398927164297,0.4735563720338673,0.10978245226507188,0.0328787170153691
33.0,590,0.08171956276191161,0.4543557202286385,0.46392471700944965,0.11883551207254528,0.03711594931063367
33.5,583,0.08171956276191161,0.45515147446021564,0.4631289627778725,0.11883551207254528,0.03711594931063367
34.0,582,0.08490257968822001,0.4623132625444096,0.4527841577673702,0.12489162539163445,0.03998904570341444
